audio,text,ruby_text
VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,また、<ruby>東寺<rt>とーじ</rt></ruby>のように、<ruby>五<rt>ご</rt></ruby><ruby>大<rt>だい</rt></ruby><ruby>明王<rt>みょーおー</rt></ruby>と<ruby>呼ば<rt>よば</rt></ruby>れる、<ruby>主要<rt>しゅよー</rt></ruby>な<ruby>明王<rt>みょーおー</rt></ruby>の<ruby>中央<rt>ちゅーおー</rt></ruby>に<ruby>配さ<rt>はいさ</rt></ruby>れることも<ruby>多い<rt>おーい</rt></ruby>。
VOICEACTRESS100_002.wav,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランド<ruby>風<rt>ふー</rt></ruby>は、<ruby>牛乳<rt>ぎゅーにゅー</rt></ruby>をベースとした、<ruby>白い<rt>しろい</rt></ruby>クリームスープであり、ボストンクラムチャウダーとも<ruby>呼ば<rt>よば</rt></ruby>れる。
VOICEACTRESS100_003.wav,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,コンピュータゲームのメーカーや、<ruby>業界<rt>ぎょーかい</rt></ruby><ruby>団体<rt>だんたい</rt></ruby>などに<ruby>関連<rt>かんれん</rt></ruby>する<ruby>人物<rt>じんぶつ</rt></ruby>のカテゴリ。
VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,サービスマネージャー<ruby>導入<rt>どーにゅー</rt></ruby><ruby>駅<rt>えき</rt></ruby>のため、<ruby>大井<rt>おーい</rt></ruby><ruby>町<rt>ちょー</rt></ruby><ruby>駅<rt>えき</rt></ruby>から、<ruby>遠隔<rt>えんかく</rt></ruby><ruby>管理<rt>かんり</rt></ruby>している。
VOICEACTRESS100_005.wav,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,シルバーサーファー<ruby>襲撃<rt>しゅーげき</rt></ruby><ruby>事件<rt>じけん</rt></ruby>までに、リチャーズは、チーム<ruby>名<rt>めー</rt></ruby>と<ruby>共<rt>とも</rt></ruby>に、<ruby>国際<rt>こくさい</rt></ruby><ruby>的<rt>てき</rt></ruby>にスーパーヒーロー、および、<ruby>有名<rt>ゆーめー</rt></ruby><ruby>人<rt>にん</rt></ruby>として、<ruby>認知<rt>にんち</rt></ruby>されている。
VOICEACTRESS100_006.wav,ツュレンハルト領は、ヴュルテンベルク領に編入された。,ツュレンハルト<ruby>領<rt>りょー</rt></ruby>は、ヴュルテンベルク<ruby>領<rt>りょー</rt></ruby>に<ruby>編入<rt>へんにゅー</rt></ruby>された。
VOICEACTRESS100_007.wav,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,<ruby>時間<rt>じかん</rt></ruby><ruby>領域<rt>りょーいき</rt></ruby>と、<ruby>空間<rt>くーかん</rt></ruby><ruby>領域<rt>りょーいき</rt></ruby>で<ruby>共通<rt>きょーつー</rt></ruby>する<ruby>処理<rt>しょり</rt></ruby><ruby>手法<rt>しゅほー</rt></ruby>は、フィルタリングによる、<ruby>入力<rt>にゅーりょく</rt></ruby><ruby>信号<rt>しんごー</rt></ruby>の<ruby>強化<rt>きょーか</rt></ruby>である。
VOICEACTRESS100_008.wav,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,シャンチーの<ruby>専業<rt>せんぎょー</rt></ruby>プロは、チームから<ruby>支払わ<rt>しはらわ</rt></ruby>れる<ruby>給料<rt>きゅーりょー</rt></ruby>と、<ruby>対局<rt>たいきょく</rt></ruby><ruby>費<rt>ひ</rt></ruby>を、<ruby>主な<rt>おもな</rt></ruby><ruby>収入<rt>しゅーにゅー</rt></ruby>としている。
VOICEACTRESS100_009.wav,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,また<ruby>禰寝<rt>ねじめ</rt></ruby><ruby>氏<rt>し</rt></ruby>は、<ruby>中山<rt>なかやま</rt></ruby><ruby>王<rt>おー</rt></ruby>の<ruby>治める<rt>おさめる</rt></ruby>、<ruby>琉球<rt>りゅーきゅー</rt></ruby><ruby>王国<rt>おーこく</rt></ruby>との<ruby>交易<rt>こーえき</rt></ruby>にも<ruby>参加<rt>さんか</rt></ruby>した。
VOICEACTRESS100_010.wav,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,スマートフォンから、フィーチャーフォンまで、マルチデバイスに<ruby>対応<rt>たいおー</rt></ruby>。
